série Name,série Code,pays Name,pays Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603
"Population, total",SP.POP.TOTL,Albanie,ALB,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703
"Population, total",SP.POP.TOTL,Algérie,DZA,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020
"Population, total",SP.POP.TOTL,Samoa américaines,ASM,57816,58496,59077,59495,59684,59557,59109,58367,57490,56675,56084,55755,55669,55717,55791,55806
"Population, total",SP.POP.TOTL,Andorre,AND,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993
"Population, total",SP.POP.TOTL,Angola,AGO,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380
"Population, total",SP.POP.TOTL,Antigua-et-Barbuda,ATG,76007,77212,78298,79311,80347,81462,82715,84029,85394,86743,88030,89250,90407,91510,92562,93571
"Population, total",SP.POP.TOTL,Argentine,ARG,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966
"Population, total",SP.POP.TOTL,Arménie,ARM,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559
"Population, total",SP.POP.TOTL,Aruba,ABW,90866,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339
"Population, total",SP.POP.TOTL,Australie,AUS,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995
"Population, total",SP.POP.TOTL,Autriche,AUT,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699
"Population, total",SP.POP.TOTL,Azerbaïdjan,AZE,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341
"Population, total",SP.POP.TOTL,Bahamas,BHS,298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200
"Population, total",SP.POP.TOTL,Bahreïn,BHR,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853
"Population, total",SP.POP.TOTL,Bangladesh,BGD,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287
"Population, total",SP.POP.TOTL,Barbade,BRB,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327
"Population, total",SP.POP.TOTL,Bélarus,BLR,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616
"Population, total",SP.POP.TOTL,Belgique,BEL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196
"Population, total",SP.POP.TOTL,Belize,BLZ,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926
"Population, total",SP.POP.TOTL,Bénin,BEN,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962
"Population, total",SP.POP.TOTL,Bermudes,BMU,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237
"Population, total",SP.POP.TOTL,Bhoutan,BTN,591014,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582,710235,719053,727885
"Population, total",SP.POP.TOTL,Bolivie,BOL,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732
"Population, total",SP.POP.TOTL,Bosnie-Herzégovine,BIH,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362
"Population, total",SP.POP.TOTL,Botswana,BWA,1643333,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551,2062551,2088619,2120716
"Population, total",SP.POP.TOTL,Brésil,BRA,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759
"Population, total",SP.POP.TOTL,Îles Vierges britanniques,VGB,20313,20675,21128,21674,22329,23106,24022,25050,26096,27035,27796,28326,28654,28850,28985,29148
"Population, total",SP.POP.TOTL,Brunéi Darussalam,BRN,333166,340037,346777,353295,359434,365112,370262,374967,379418,383902,388634,393687,398997,404414,409778,414914
"Population, total",SP.POP.TOTL,Bulgarie,BGR,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,11607951,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915,16571252,17072791,17586029,18110616
"Population, total",SP.POP.TOTL,Burundi,BDI,6378871,6525546,6704118,6909161,7131688,7364857,7607850,7862226,8126104,8397661,8675606,8958406,9245992,9540302,9844301,10160034
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,428178,435701,442955,449925,456619,463034,469171,475067,480846,486667,492644,498858,505241,511740,518276,524740
"Population, total",SP.POP.TOTL,Cambodge,KHM,12155241,12405411,12637719,12856171,13066475,13273355,13477705,13679953,13883835,14093605,14312205,14541421,14780454,15026330,15274506,15521435
